Crash ID,Date,Day of Week,Time,Lane Count,Crash Type,Functional Class,Speed Limit,Environmental Conditions,Light Conditions,Surface Condition,Total Vehicles Involved,Curve Related,Alcohol Involved,Distracted Driving Involved,Drugged Driver Involved,Older Driver Involved,Temp Traffic Control Zone,Traffic Controls Present,Vehicle Type,Severity
9968342,4,1,1,2,3,2,4,2,1,1,2,2,2,2,2,2,1,1,2,3
9694300,4,1,1,3,3,2,2,2,1,1,2,2,2,1,2,2,1,1,3,3
9741008,4,1,1,2,1,2,3,2,1,1,2,1,2,2,2,2,1,1,1,3
9960459,4,1,1,3,4,2,4,2,1,1,1,1,1,1,2,2,1,1,1,3
9687348,4,1,1,3,3,2,4,2,1,1,2,2,2,1,2,2,1,1,1,3
9687923,4,1,1,2,2,2,3,2,1,1,2,2,2,2,2,1,1,1,1,3
9687921,4,1,1,2,3,2,3,2,1,1,2,2,2,2,2,2,1,1,3,3
9706717,4,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,3
9694009,4,1,1,2,2,2,1,2,1,1,3,2,2,2,2,2,1,1,3,3
9684457,4,1,1,2,1,2,3,2,1,1,2,2,2,2,2,2,1,1,1,3
9960457,4,2,2,3,4,2,4,1,4,2,1,1,2,2,2,3,1,1,1,3
9698740,4,2,1,3,1,2,4,1,2,2,3,2,2,2,2,1,1,1,1,3
9960451,4,2,2,3,1,2,4,1,4,2,2,1,2,1,2,2,1,1,1,3
9960450,4,2,2,2,1,2,4,1,4,2,3,2,2,1,2,1,1,1,1,3
9960448,4,2,2,2,3,2,2,2,4,2,2,1,2,1,2,1,1,1,1,3
9740999,4,2,2,3,1,2,4,1,4,2,2,2,2,1,2,2,1,1,1,3
9680585,4,2,1,1,2,2,3,1,4,2,2,2,2,2,2,3,1,1,1,3
9718754,4,2,1,2,1,2,1,2,1,1,2,2,2,1,2,1,3,1,2,3
9670403,4,2,1,2,3,2,2,1,1,1,2,2,2,2,2,2,1,1,1,3
9970974,4,2,1,3,1,2,3,2,1,1,2,2,2,2,2,2,1,2,1,3
9701983,3,1,2,2,1,2,1,2,4,1,2,2,2,1,2,2,1,1,1,3
9960446,3,1,1,3,1,2,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9962150,3,1,1,2,1,2,4,2,4,1,2,2,2,2,2,3,1,1,1,3
9734212,3,1,1,2,1,2,3,1,1,2,2,2,2,1,2,1,1,1,1,3
9697710,3,1,1,2,1,2,2,2,1,1,2,2,2,1,2,3,1,1,1,3
9684591,3,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,3
9672638,3,1,1,3,3,2,4,2,1,1,2,2,2,2,2,1,1,2,3,3
9670390,3,1,1,3,1,2,3,2,1,1,2,2,2,1,2,1,3,1,1,3
9709781,3,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,3
9684418,3,1,1,2,3,2,3,2,1,1,2,2,2,1,2,2,1,1,3,3
9675657,3,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,3
9670387,3,1,1,3,3,2,3,2,1,1,2,2,2,1,2,1,3,1,1,3
9698879,3,1,1,3,4,2,2,2,1,1,1,2,2,2,2,2,1,1,3,3
9714797,3,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,3
9691071,3,1,3,3,1,2,3,2,4,1,2,2,2,1,2,2,1,2,1,3
9982568,3,1,2,3,1,2,4,2,3,1,3,2,2,2,2,3,1,1,1,3
9709779,3,1,2,2,5,2,2,2,3,1,1,1,2,2,2,2,1,2,1,3
9958594,3,1,1,3,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2
9681762,3,1,1,3,3,2,3,2,1,1,2,2,2,2,2,2,2,1,3,3
9716637,3,1,1,3,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,3
9695679,3,1,1,2,3,2,1,2,1,1,2,2,2,2,2,1,1,1,3,3
9721388,3,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,1,3
9749391,3,1,2,2,4,2,1,2,4,1,1,2,2,2,2,2,1,1,1,3
9716586,3,1,2,2,5,2,1,2,1,1,1,2,2,2,2,2,1,2,1,3
9720516,3,1,1,2,4,2,2,2,2,1,1,2,2,2,2,2,1,2,1,3
9700256,3,1,1,3,1,2,4,2,1,1,2,2,2,2,2,2,1,1,3,3
9740983,3,1,1,3,1,2,4,2,1,1,2,1,2,1,2,2,1,1,1,3
9732643,3,1,1,2,1,2,3,2,1,1,2,1,2,2,2,2,1,1,1,3
9698726,3,1,2,3,3,2,4,1,4,2,2,2,2,2,2,2,1,1,1,3
9868633,3,1,1,2,3,2,3,1,1,2,2,2,2,1,2,1,1,1,2,3
9694234,3,1,1,2,1,2,3,1,1,2,2,2,2,1,2,1,1,1,1,3
9715725,3,1,1,2,4,2,4,1,1,2,1,2,2,2,2,2,1,1,1,3
9670366,3,1,1,3,2,2,3,1,1,2,2,2,2,1,2,2,1,2,1,3
9683563,3,1,1,3,3,2,4,1,1,2,2,2,2,2,2,1,1,1,3,3
9703080,3,1,1,3,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,3
9720510,3,1,1,3,3,2,3,1,1,1,2,1,2,1,2,1,1,1,1,3
9705227,3,1,1,3,1,2,1,2,1,1,3,2,2,2,2,3,3,2,1,3
9738829,3,1,1,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,3
9683466,3,1,1,2,4,2,1,2,1,1,1,2,2,2,2,1,1,1,1,3
9702354,3,1,1,2,3,2,3,1,1,1,2,2,2,2,2,2,1,1,1,3
9708590,3,1,1,2,3,2,3,1,1,1,2,2,2,2,2,2,1,1,1,3
9702276,3,2,2,2,3,2,4,2,1,1,2,2,2,1,2,1,1,1,3,3
9703079,3,2,1,3,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,3
9701959,3,2,2,2,1,2,1,1,4,2,2,2,2,1,2,2,1,2,1,3
9711277,3,2,2,2,1,2,1,1,4,2,2,2,2,1,2,3,1,1,1,3
9985678,3,2,3,3,4,2,4,2,4,1,1,1,1,1,2,2,1,1,1,3
9738900,3,1,2,3,1,2,4,2,4,1,2,2,2,1,2,3,1,1,1,3
9965865,3,1,1,3,1,2,4,2,2,1,3,2,2,2,2,3,1,1,1,3
9969842,3,1,1,3,1,2,4,2,1,1,2,2,2,1,2,2,1,2,1,3
9969841,3,1,1,3,1,2,4,2,1,1,3,2,2,1,2,1,1,1,1,3
9672582,3,1,1,2,4,2,1,2,4,1,1,2,2,2,2,2,1,2,1,3
9732799,3,1,2,2,4,2,2,2,3,1,1,2,2,2,2,1,1,1,1,3
9743626,3,1,1,2,3,2,1,2,4,1,2,2,2,2,2,3,1,1,1,3
9734480,3,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,3,1,1,3
9680610,3,1,3,2,1,2,3,2,4,1,2,2,2,2,2,2,1,1,1,3
9676549,3,1,2,3,3,2,2,2,4,2,2,1,2,1,2,2,1,1,3,3
9709506,3,1,1,2,2,2,3,2,3,1,2,2,2,2,2,3,1,1,1,3
9691370,3,1,1,2,4,2,1,1,1,1,1,2,2,1,2,2,1,2,3,3
9704784,3,1,1,2,4,2,2,2,1,1,1,2,2,1,2,1,2,1,1,3
9673560,3,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,3
9730622,3,1,1,3,2,2,1,2,1,1,2,2,2,1,2,2,1,1,2,3
9965862,3,1,2,3,1,2,4,1,3,2,3,2,2,2,2,2,1,1,1,3
9957303,3,1,1,3,1,2,4,1,3,2,2,2,2,2,2,2,1,1,3,3
9670354,3,1,1,2,3,2,2,2,4,1,2,2,2,2,2,2,1,1,1,3
9672093,3,1,1,2,3,2,1,2,1,1,2,2,2,1,2,2,1,1,3,3
9708938,3,1,1,3,3,2,2,2,1,1,2,2,2,2,2,2,1,2,1,3
9669986,3,1,1,2,3,2,2,2,1,1,2,2,2,2,2,2,1,1,2,3
9667267,3,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,3
9728541,3,1,1,3,1,2,4,2,1,1,2,2,2,1,2,2,1,1,1,3
9971409,3,1,1,2,3,2,4,2,1,1,2,2,2,2,2,2,1,1,3,3
9979551,3,1,3,3,1,2,4,2,3,1,2,2,2,1,2,2,1,1,3,3
9705712,3,1,2,2,2,2,4,2,4,1,2,2,2,2,2,2,1,1,1,2
9667265,3,1,2,3,4,2,3,2,3,1,1,2,2,2,2,2,3,1,1,3
9692509,3,1,2,3,3,2,4,2,4,1,3,2,2,2,2,2,1,1,3,3
9684835,3,1,2,3,3,2,3,2,4,1,2,1,2,1,2,2,1,1,2,3
9683562,3,1,1,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,3,3
9694233,3,1,1,2,3,2,2,2,4,1,2,2,2,2,2,1,1,2,2,3
9679335,3,1,1,2,2,2,1,2,3,1,2,2,2,1,2,2,1,2,1,2
9699579,3,1,1,2,1,2,2,2,1,1,2,2,2,1,2,3,1,1,1,3
9980655,3,1,1,3,3,2,4,2,1,1,2,2,2,2,2,3,1,1,1,3
9681776,3,1,1,3,3,2,3,2,1,1,2,2,2,2,2,3,1,2,1,3
9732349,3,1,1,3,1,2,4,2,1,1,2,2,2,2,2,2,1,1,1,3
9683584,3,1,1,2,4,2,3,2,1,1,1,2,2,1,2,1,1,1,3,3
9744460,3,1,1,2,4,2,1,2,1,1,1,2,2,2,2,2,1,2,3,3
9666942,3,1,1,2,1,2,3,2,1,1,3,2,2,1,2,2,1,1,2,3
9672634,3,1,1,3,3,2,3,2,1,1,2,2,2,2,2,1,1,1,3,3
9670467,3,1,1,2,4,2,2,2,1,1,1,2,2,1,2,2,1,2,3,3
9669985,3,1,1,2,1,2,3,2,1,1,2,2,2,1,2,2,1,2,2,3
9673558,3,1,1,2,1,2,3,2,1,1,2,2,2,2,2,3,1,1,1,3
9714051,3,1,1,3,3,2,3,2,1,1,2,2,2,1,2,2,1,1,1,3
9747784,3,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,3
9695091,3,1,3,2,3,2,4,2,4,1,2,2,2,2,2,2,1,1,3,3
9684834,3,2,2,3,3,2,3,2,4,1,2,2,2,2,2,2,1,1,1,3
9685067,3,2,2,2,1,2,2,2,4,1,3,2,2,1,2,2,1,1,2,2
9746856,3,2,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,3
9694598,3,2,2,3,1,2,3,2,4,1,2,2,2,1,2,2,1,1,2,3
9985674,3,2,1,3,3,2,4,2,1,1,2,2,2,2,2,2,1,1,1,3
